Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.161519618,37.34687973,2.043179888,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,31.16901969,0.8272966359999999,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,34.60505756,0.689431365,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,31.86399985,0.18922775,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.253860156,33.58524446,2.09180396,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,19.84543578,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,24.16541055,1.222103648,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.171329667,31.99891107,0.687396055,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.11810860000000001,22.65701645,0.769394569,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.14348699999999998,29.94089979,0.70011042,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,20.5807138,0.134744459,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.7731772859999999,24.19606382,2.421140108,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.662786875,28.47545442,1.556443772,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Muladi,14,0.287878444,23.62197658,0.611437596,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,23.00497216,0.6618092210000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.352841875,35.18962473,1.26947951,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,42.54828032,0.826477597,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.37191229299999995,56.77932698,3.5783045889999996,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,1.177014636,40.34973970000001,1.571734631,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.2070255,52.17389816,1.8682725340000002,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.811344664,60.30517691,3.399604595,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.91550848,51.79638342,3.511288957,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,26.29084019,0.615994975,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,29.35827378,0.135586722,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,28.26900426,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,28.04433645,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.106315,41.22505268,0.9387673740000001,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,42.8517486,0.9537724120000001,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.41962566700000004,33.41834348,0.985096748,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.250224817,47.26652056,3.849583958,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.28184566699999997,39.62274378,1.0111046320000001,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,33.02559957,0.8672768679999999,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,36.30335047,1.179072635,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.0,27.88977492,1.13338174,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,25.87009466,0.5424872820000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.356692193,30.48974418,2.4191208459999998,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Pirojpur,Nazirpur,37,0.20717971,23.08827228,0.195372309,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.0,23.94104584,0.422003071,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,26.07898019,0.261132246,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0.316804,27.03158219,1.024264899,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Chandpur Sadar,41,1.451606815,17.15188463,1.5731798590000001,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Faridganj,42,0.0,20.34259099,0.281994057,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.844110632,21.15722756,0.550056645,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Hajiganj,44,0.0,18.76372007,1.546487131,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0.0,17.80314459,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0.0,13.96006735,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0.41296991299999997,11.74652325,1.043883298,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Shahrasti,48,0.0,21.29623699,0.334398514,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.656910478,163.48273669999998,16.3261663,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Banshkhali,50,1.206964813,182.22682790000002,32.62906877,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Boalkhali,51,0.7099862109999999,122.2637278,4.65846429,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Chandanaish,52,0.4890402,177.0131812,19.46905986,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Fatikchhari,54,0.65,112.60002779999999,3.030940453,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Hathazari,55,0.358741479,127.0835246,10.05297158,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Chittagong City Corporation,53,1.036850889,146.2165668,14.37015857,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Chittagong,Chittagong,Lohagara,56,0.0,191.30499450000002,0.0,No polder in the area,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
