DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.192271389,64.8491959,0.875553206,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,53.10649889,2.292721746,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,58.84330083,0.773933412,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,56.56663931,1.65972287,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.225557375,52.66443133,0.864905422,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,48.88251201,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,57.62703154,2.662954155,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,69.25609038,3.523555993,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,50.86436379,0.239597045,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,67.30854824,2.896353958,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,53.49201821,0.137272997,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.28007,67.28738608,3.627593794,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.192596167,67.23905521,4.95405493,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,58.03955351,1.679771958,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,52.63904493,1.210520058,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,77.01160538,5.761566348,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,90.34978072,4.848487264,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.290357547,99.39784028,8.144251374,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",161
Barisal,Bhola,Daulatkhan,19,0.653842,90.01850029,2.678588093,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,99.89587064,4.985880659,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.633653153,112.7512852,12.10982611,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",111
Barisal,Bhola,Tazumuddin,22,0.629481125,106.1225116,6.441266614,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
