DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.211390652,17.87735843,0.836704301,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",23
Barisal,Barguna,Bamna,2,0,15.28729778,0.682039343,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,16.99725828,1.07494518,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,15.10443331,0.037318301,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.241612375,17.02057066,2.25181267,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,10.1034938,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,9.779244897,0.510491376,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,13.24316912,0.453681424,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,10.78839218,1.06263901,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,11.4288164,0.721995335,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,9.0171219,0.030790252,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,7.271555946,1.031611424,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.14448675,10.38120694,1.254740871,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,8.560538588,0.545642743,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,10.64726414,2.424179386,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,14.3584246,0.801049359,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,19.14800605,0.973171496,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.291775679,26.36869534,1.465456914,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",56
Barisal,Bhola,Daulatkhan,19,0.646242,18.15468688,0.984384775,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,24.64063352,1.057284046,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.444648609,29.59101569,1.134994917,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",64
Barisal,Bhola,Tazumuddin,22,0.679707111,25.63489305,1.187817397,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,11.65870546,0.420057677,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,14.09164505,0.546229002,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,12.43185064,0.824313591,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,12.78355405,0.273277174,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,18.03418301,0.858103275,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,19.09843209,0.682845027,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,13.97103607,0.34633262,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.306792875,21.56624994,1.369642612,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",48
Barisal,Patuakhali,Kala Para,31,0.184134,18.75116089,2.272510778,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,15.19015958,3.311667405,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,15.68014868,0.815350066,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,14.17643533,0.943038114,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,12.7393671,1.848233398,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,15.61625212,2.537316928,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,12.61240728,0.839988323,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,11.75579029,0.564088986,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,12.94902996,1.559207109,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,14.14781615,1.174379929,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.384097,4.532548269,0.740805114,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Chittagong,Chandpur,Faridganj,42,0,4.869447672,0.205575164,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0,5.263121169,0.269428404,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Hajiganj,44,0,5.826984053,0.600715918,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,7.322099585,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,4.759863913,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,6.193416425,0.572590514,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,8.728533219,0.264465981,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.74144,95.00337128,5.34790426,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",22
Chittagong,Chittagong,Banshkhali,50,0.469116324,87.06019134,1.948574679,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",34
Chittagong,Chittagong,Boalkhali,51,0.310804,102.4880456,10.88986107,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,95.70949145,5.442754375,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,78.13997121,0.350313133,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,74.6991635,0.865986728,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,1.420501308,94.13251075,4.064777225,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",13
Chittagong,Chittagong,Lohagara,56,0,76.13062995,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Mirsharai,57,1.1518801,57.42221113,1.731537737,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Chittagong,Chittagong,Patiya,58,0.154091,101.9076932,0.498721099,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chittagong,Rangunia,59,0.911980245,102.5854293,19.21264824,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",139
Chittagong,Chittagong,Raozan,60,0.4,92.2416772,11.34787273,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Sandwip,61,1.356514225,66.42084026,4.648923826,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",227
Chittagong,Chittagong,Satkania,62,0,87.79456767,5.206719478,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
