DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.77816264,18.82280345,1.040278572,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",25
Barisal,Barguna,Bamna,2,0,15.74598542,0.341541179,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,17.42902127,1.075945391,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,16.08150337,0.052235556,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.69146175,17.03120761,3.176195458,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,9.617886659,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,12.55656081,0.310161244,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,17.20803555,0.326947542,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,11.23736589,0.845145587,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,16.31535695,0.557819838,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,10.28819085,0.032024208,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.253475167,14.87857455,1.360100077,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.129466167,15.79676317,0.775257011,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,12.39311221,0.446190093,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,11.53266084,0.562748754,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,19.85857425,0.891513396,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,24.61335738,0.957752437,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.929231947,28.29711594,1.539536927,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57
Barisal,Bhola,Daulatkhan,19,0.241582,24.44077058,1.310592839,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,27.99505942,1.223145193,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.29593463,31.93151182,0.853301162,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.21889775,29.95116379,1.313519967,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Jhalokati,Jhalokati Sadar,23,0,13.27865525,0.412262701,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,14.83649922,0.245111837,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,14.70448434,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,14.19369388,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,22.02353038,0.715458698,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,22.16518518,0.653804743,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,17.48918829,0.454721095,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.71610283,23.51498568,1.816389717,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",53
Barisal,Patuakhali,Kala Para,31,0.5320775,19.70539473,0.55566926,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,16.66601237,1.663075924,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,18.76927593,1.792387249,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,14.08793007,4.021649823,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,13.00954542,0.630239581,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,15.49205495,2.893881433,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,11.51061379,0.598992369,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,11.94264748,0.540646535,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,13.13318108,0.779291364,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,13.77111131,1.918870023,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.394694909,11.10212291,2.665400294,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,13.83571019,0.368275027,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.293807,12.72699437,0.351028896,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Chittagong,Chandpur,Hajiganj,44,0,14.68701376,1.52523116,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,15.70631867,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,10.04457087,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,7.961263983,0.950415709,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,17.85150359,0.310921146,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.687692857,78.59095252,0.99114681,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Banshkhali,50,0.325425,72.85072554,1.218821971,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Chittagong,Chittagong,Boalkhali,51,0.32814,96.80409717,1.139824524,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,87.95933813,0.280319362,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,86.82877849,0.056264971,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,90.63147573,0.413685945,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,0.277528,88.47288553,6.436253507,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
Chittagong,Chittagong,Lohagara,56,0,69.80748506,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Mirsharai,57,0.358663333,65.68401607,0.518193512,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
