DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.233592172,32.6777753,1.211221045,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",29
Barisal,Barguna,Bamna,2,0,22.34858952,0.602811735,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,28.03019951,1.019241212,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,23.87880117,0.06539376,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.252007083,25.45359502,2.421838763,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",12
Barisal,Barisal,Agailjhara,6,0,11.42911734,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,17.99734199,0.515113599,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,27.42941899,0.673798172,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.36739819,1.119609674,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,25.58224422,0.764025135,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,14.21388455,0.02324631,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.258482333,23.63328932,1.335716242,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.127590667,24.55711918,1.56261847,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,17.97058841,0.462365211,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.72762696,2.865924168,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,32.81696276,1.115373643,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,42.34998364,1.296257535,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.53017409,66.62533095,1.909222292,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",89
Barisal,Bhola,Daulatkhan,19,0.338519,40.44089301,1.224661416,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,56.52835721,0.730222014,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.712377752,69.92767987,0.975232957,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",101
Barisal,Bhola,Tazumuddin,22,0.581452667,54.6296231,1.152319463,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,17.63665997,0.534402102,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,20.2163469,0.499462368,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,21.62950341,0.986777817,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,19.39263175,0.285420385,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,39.93212317,0.5262543,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,42.00900377,0.661226126,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,28.38035445,0.3062907,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
