DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.204783579,45.72228287,1.971400444,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",19
Barisal,Barguna,Bamna,2,0,37.65084717,0.848700045,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,41.53055351,0.754399742,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,40.75769963,0.15485802,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.242942625,37.16583627,2.333022879,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,36.43252755,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,43.34479886,1.47560422,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,51.88813834,1.650431391,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,37.58162024,0.541534178,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,50.59381737,1.591326002,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,40.79181567,0.033912404,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.268915,55.00252653,1.067191813,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.117070667,53.96829391,1.697069337,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,44.03546455,1.206289902,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,39.28762096,0.576619351,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,58.74765404,2.555906992,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,67.78721386,1.930798467,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.37075119,68.93599935,3.556730426,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",179
Barisal,Bhola,Daulatkhan,19,0.44954,69.77477697,2.255772076,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Bhola,Lalmohan,20,0.12677825,70.92946067,1.979778024,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Bhola,Manpura,21,0.512889877,79.05552547,4.15836218,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",130
Barisal,Bhola,Tazumuddin,22,0.41644975,77.47802634,4.264793851,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",12
Barisal,Jhalokati,Jhalokati Sadar,23,0,40.40029649,0.452947365,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,39.21798736,0.417729787,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,45.04187079,0.811110673,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,39.52789864,0.273363109,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,57.83342094,2.059635366,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,57.57751739,1.381315879,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,48.53454601,0.794731304,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.1859344,53.40568324,3.382672813,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",50
Barisal,Patuakhali,Kala Para,31,0.322076,45.92902169,1.583630236,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,43.00307912,1.755764128,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,49.25641491,2.40945594,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,37.63545674,0.495817669,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,36.20524483,1.327725569,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,36.15766669,2.865623509,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
