DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.220467791,52.65971436,2.019587928,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",43
Barisal,Barguna,Bamna,2,0,38.18741853,0.485317462,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,45.80010425,2.632423538,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,40.33392702,0.094677617,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.257355833,40.3410527,2.040653886,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barisal,Agailjhara,6,0,20.16485703,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,27.35150012,1.409807927,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,41.80140936,0.719567665,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,24.396407,0.81382743,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,36.75335876,1.665608508,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,21.62654208,0.100973741,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.255719333,26.03986815,1.269568741,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.191488333,33.7267501,1.157220348,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,26.41868969,1.803641804,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,25.19823256,0.846514777,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,44.9979322,1.660617748,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,59.31596806,1.625517965,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.312664084,99.9876044,2.003465525,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",154
Barisal,Bhola,Daulatkhan,19,0.562388,48.6881642,0.886011411,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Barisal,Bhola,Lalmohan,20,0.392088,79.88854591,1.101070177,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.592832928,85.03377022,2.217581159,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",97
Barisal,Bhola,Tazumuddin,22,0.761735091,71.74957378,2.192450236,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",11
Barisal,Jhalokati,Jhalokati Sadar,23,0,30.68255486,0.262882895,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,35.48745079,0.215716019,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,34.52635615,0.000127735,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,33.80805289,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,61.19640241,1.087836452,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,67.67567157,1.059965782,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,44.69123086,0.657821914,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.332564893,76.99838491,2.535557385,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",140
Barisal,Patuakhali,Kala Para,31,0.255908,55.72826274,1.617232752,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Patuakhali,Mirzaganj,32,0,43.06214996,1.766093843,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,51.33883311,0.858090589,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,32.59365329,5.072611638,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,29.13059214,1.0246729,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,36.12169365,2.740527438,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,23.96737938,0.707414471,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,26.25909842,0.441525982,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,29.18422163,1.535284627,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
