DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.249640143,58.10638614,1.109363225,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",70
Barisal,Barguna,Bamna,2,0,42.88033991,1.175203688,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,50.96896747,1.37543692,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,45.24005712,0.503877075,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.305755862,45.56285969,2.291159353,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",29
Barisal,Barisal,Agailjhara,6,0,22.96850389,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,32.74252064,1.335830705,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,49.33326994,2.03368545,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,27.78164728,0.506102533,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,45.1322653,1.519629399,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,25.60236846,0.064226157,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.5876686,35.88035982,1.0087919,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Barisal,Barisal,Mehendiganj,13,0.525405182,42.46293711,1.532386464,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Barisal,Barisal,Muladi,14,0,32.07807747,0.859875486,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,29.13469438,0.777907357,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,57.21334368,2.655774384,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,75.61380412,3.250450618,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.320648685,109.573299,11.44254173,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",273
Barisal,Bhola,Daulatkhan,19,0.901395375,67.98929339,1.349159749,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
Barisal,Bhola,Lalmohan,20,0.392088,102.3348123,6.819696324,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.582863969,121.0950072,13.22661359,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",129
Barisal,Bhola,Tazumuddin,22,0.7636925,94.16796347,9.040612457,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Barisal,Jhalokati,Jhalokati Sadar,23,0,35.11608531,0.4877379,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,39.99481549,1.10557159,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,40.61270257,0.45488868,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,38.50429246,0.172664799,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,72.30337028,2.421969135,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,74.35661428,4.393608927,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,52.1996378,0.947666782,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.386561679,81.28098475,8.343380268,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",271
Barisal,Patuakhali,Kala Para,31,0.460903636,61.16899944,3.913018786,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Barisal,Patuakhali,Mirzaganj,32,0,48.18571939,4.258109015,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,58.45079664,5.147313546,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,36.83702539,0.94886136,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,32.84169811,0.952988949,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.2957985,40.67222431,2.46811868,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Pirojpur,Nazirpur,37,0.243871,26.70977124,0.633020282,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
