DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.184767722,120.732345,6.542038908,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,88.55235558,9.797413555,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,104.7823291,5.612901897,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0,94.69800038,3.000616707,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.13705375,90.1317904,8.759909401,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,63.51319363,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,81.26703662,2.862296606,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.4541405,111.4497878,10.29190875,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Barisal,Banari Para,9,0,70.19426065,1.397867182,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,104.1475387,4.663720996,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Gaurnadi,11,0,69.51837523,0.768731831,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.625323167,86.19164039,4.557036719,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12
Barisal,Barisal,Mehendiganj,13,0.533078357,99.23397362,9.936015238,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",14
Barisal,Barisal,Muladi,14,0,80.4635499,5.243469868,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,73.61732812,3.598512608,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.396827,126.8738024,15.65539274,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Burhanuddin,17,0.009219,162.7914409,22.00217181,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.295100329,227.4271389,63.10748656,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",347
Barisal,Bhola,Daulatkhan,19,1.1418331,143.030894,4.485276634,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Barisal,Bhola,Lalmohan,20,0.3734212,207.77301,33.9860167,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Barisal,Bhola,Manpura,21,1.311817867,220.2152601,38.31407506,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",135
Barisal,Bhola,Tazumuddin,22,0.786485632,195.3774303,39.83164712,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",19
Barisal,Jhalokati,Jhalokati Sadar,23,0,82.03218758,1.983587285,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,87.79229446,1.390648509,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,94.31766289,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,86.50401379,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,157.5622532,21.7110027,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0,160.8956334,14.89201845,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Dumki,29,0,115.439147,7.041558908,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Galachipa,30,0.323870708,169.6645372,40.45678588,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",178
Barisal,Patuakhali,Kala Para,31,0.135857,126.4554966,15.68911061,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,100.821797,8.472446013,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Patuakhali Sadar,33,0,126.5465377,12.54759238,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Bhandaria,34,0,82.01424519,10.80482077,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,74.86375453,1.380251509,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,83.57292982,6.42567697,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0.217562,64.88959862,1.374788611,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,72.33917102,1.395444655,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,73.62287292,2.042532428,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,72.93367719,7.612979977,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.9405965,67.64679806,2.500261728,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12
Chittagong,Chandpur,Faridganj,42,0,75.9388401,2.208916569,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.6540465,77.53065496,1.439253619,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",4
Chittagong,Chandpur,Hajiganj,44,0,71.81293515,1.905874553,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,68.23525452,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,61.60477381,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0.0686425,55.38186976,0.986559718,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Chittagong,Chandpur,Shahrasti,48,0,76.03243,1.395261791,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.9581433,153.1016853,14.58037635,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",30
Chittagong,Chittagong,Banshkhali,50,0.822299184,149.5124883,20.82523298,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",38
Chittagong,Chittagong,Boalkhali,51,0.32951,136.5960662,18.51279765,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,136.4852428,6.651588416,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Fatikchhari,54,0.65,125.2038672,3.359314629,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,136.9139886,5.850608278,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
